hotspot_id,dominant_junction,historical_CHI,pred_7d_violations,pred_7d_CHI
HS_8961892cb7bffff,No Junction,62.92732132596377,65.24880092075892,89.14285714285714
HS_89618925363ffff,"BTP148 - 17th Main, Doopanahalli Bus Stop",62.89075141654943,28.47787687301636,21.880498275756835
HS_8961892e28fffff,No Junction,62.804960053157046,31.388022708892823,22.324018216814313
HS_8960169019bffff,No Junction,62.74669975410965,29.733014488220213,34.13388378688267
HS_8960145b077ffff,No Junction,62.46460196700656,72.97603794642858,70.94191266741072
HS_8961892536bffff,"BTP148 - 17th Main, Doopanahalli Bus Stop",62.4256698956987,12.782808162144251,32.64384941101074
HS_896189259bbffff,"BTP189 - New Diagonal Road, Jayanagar",62.203225984221966,26.363785596575056,94.71428571428572
HS_8961892582bffff,"BTP123 - 10th Cross, Wilson Garden",62.16493428575649,32.747192927769255,55.211948274884904
HS_89618926397ffff,No Junction,62.02573086155443,85.34348422459193,87.65637354169573
HS_89618925977ffff,BTP216 - Yediyur Junction,61.96195825953963,36.91157412392753,43.97031267983573
HS_89601459563ffff,No Junction,61.96161496000341,41.566188703264515,44.710913260323665
HS_89618925b0fffff,BTP167 - JC Road Junction,61.83007767566554,22.284751300811767,51.91362339019775
HS_89618924a07ffff,"BTP117 - 9th Cross, Kanakapura Road",61.81604907684096,12.80112164088658,32.690617103576656
HS_89618924a47ffff,"BTP176 - Rajalakshmi Kalyana Mantapa, JP Nagar",61.4876248868771,12.764494683401924,34.71241242000035
HS_8960145b063ffff,No Junction,61.44660577716018,48.375915336608884,82.64488296508789
HS_8961892e55bffff,No Junction,61.17540603335614,29.636653077261787,53.685226364135744
HS_89618924a5bffff,"BTP191 - 40th Cross, 4th Main, Jayanagar",61.014900603057306,12.7461812046596,34.66260981968471
HS_89618920923ffff,No Junction,60.89991057995181,59.796254098074776,92.57142857142857
HS_8961892e383ffff,No Junction,60.64862240697752,30.927955518450055,95.85714285714285
HS_8960145b697ffff,No Junction,60.61943701310737,42.01992579868862,82.39632692609514
HS_89618925403ffff,No Junction,60.450514543473,60.07551792689732,92.57142857142857
HS_89618925b23ffff,BTP118 - Basappa Circle,60.34796447437946,28.981929125104628,14.142786407470702
