hotspot_id,dominant_junction,historical_CHI,pred_24h_CHI,chi_pct_change
HS_8961892e287ffff,No Junction,48.00606773032006,65.35704,36.14329082820234
HS_896016964b7ffff,No Junction,64.03074463628695,87.12938,36.074287074718356
HS_8960145a627ffff,No Junction,26.843315709719235,36.470924,35.865944326081426
HS_8961892cc0bffff,No Junction,26.863465255955603,36.470924,35.764035019107745
HS_8960145a6c7ffff,BTP215 - Vanivillas Junction,55.629318867622736,75.47699,35.67843590841216
HS_8960145a243ffff,"BTP070 - Cholurpalya Junction, Magadi Road",28.884525802693663,39.16382,35.58754132540659
HS_8960145a247ffff,"BTP070 - Cholurpalya Junction, Magadi Road",28.884525802693663,39.16382,35.58754132540659
HS_8961892ec83ffff,No Junction,26.91044602524016,36.470924,35.527015580619405
HS_89601458edbffff,No Junction,26.914490970093865,36.470924,35.50664739662439
HS_896189273b7ffff,No Junction,26.929255202170964,36.470924,35.43235452906703
HS_89601458033ffff,No Junction,26.93667857444668,36.470924,35.39503126431976
HS_8960145b67bffff,No Junction,26.94634170199838,36.470924,35.34647775485111
HS_8961892717bffff,No Junction,26.95410184741015,36.470924,35.307511205184774
HS_89601459457ffff,No Junction,26.959667466605968,36.470924,35.27957799411551
HS_896014588afffff,No Junction,26.983691431915712,36.470924,35.159136656537676
HS_8961892424bffff,No Junction,27.03566695631429,36.470924,34.899295942552925
HS_8961892ec8fffff,No Junction,27.067178164666934,36.470924,34.74224817809037
HS_8961892ccb7ffff,No Junction,27.09040267578075,36.470924,34.62673410184113
HS_89618925c4bffff,No Junction,27.120663972947877,36.470924,34.476517292571295
HS_89618924823ffff,No Junction,47.03213711452431,63.207535,34.39222341975933
HS_89618925ccbffff,No Junction,27.205682992907953,36.470924,34.05627194490482
HS_89618920e47ffff,No Junction,27.24545908323558,36.470924,33.860561005860795
HS_8961892c957ffff,No Junction,27.266314381467637,36.470924,33.758174526990544
HS_89601459253ffff,No Junction,27.266314381467637,36.470924,33.758174526990544
HS_89618925e07ffff,No Junction,27.266314381467645,36.470924,33.758174526990516
HS_89618924b4bffff,No Junction,27.277655873867975,36.470924,33.702560608884994
